	<bytes_page>	<traf_page>	bratio_il0	bratio_il1	bratio_il2	bratio_il3	bratio_il4	traf_il0	traf_il1	traf_il2	traf_il3	traf_il4
2008/10/13/02	19570	2	2.530608074	1.124987225	57.38405723	2.066888094	0.993050588	7	2	35	22	3
2008/10/13/08	9970	1	10.40621866	4.658475426	22.04112337	1.095787362	0.97001003	13	2	3	2	1
2008/10/14/12	19750	2	2.847746835	0.557367089	28.59129114	1.092	0.480253165	8	1	11	3	1
2008/10/17/21	9770	1	10.46806551	1.126714432	21.09181167	1.166120778	0.970931423	15	1	6	3	1
2008/10/18/04	9770	1	6.043500512	2.253428864	50.26264074	0.09580348	0.971954964	12	2	15	2	1
2008/10/18/06	51596	3	0.385843864	0.683076207	8.459124738	0.202573843	0.590084503	5	1	7	1	1
2008/10/18/07	9770	1	6.161310133	1.126714432	12.74810645	2.14370522	0.971443193	6	1	8	2	1
2008/10/19/11	9771	1	5.056186675	1.12659912	25.07153823	1.713028349	0.971957834	6	1	6	14	1
2008/10/20/02	29313	3	2.870501143	0.391498652	16.76907857	2.510285539	0.323985945	15	2	19	5	1
2008/10/20/21	19542	2	6.640210828	0.56329956	10.49232422	0.571128851	0.485364855	15	1	7	2	1
2008/10/20/22	9771	1	12.1940436	1.12659912	25.0937468	2.140620203	0.971650803	16	1	7	2	1
2008/10/20/23	9766	1	3.962830227	1.126663936	20.85531436	1.166905591	0.971636289	7	1	5	3	1
2008/10/22/13	42023	2	2.432620232	0.266330343	13.96989744	0.248863717	0.23032625	9	1	13	2	1
2008/10/22/20	51607	3	1.113783014	0.213323774	9.786172418	0.202201252	0.183792896	9	1	11	1	1
2008/10/22/21	42304	3	3.10006146	0.271321861	6.795173033	0.813209153	0.235438729	18	2	10	31	2
2008/10/23/21	19722	2	5.383226853	0.567488084	27.66818781	0.539549741	0.490771727	15	1	11	1	1
2008/10/23/23	19536	2	1.654739967	0.563523751	37.93990581	0.023904586	0.485513923	6	1	31	1	1
2008/10/25/00	10077	1	5.095663392	1.126724223	61.60007939	3.109655651	0.973504019	8	1	26	3	1
2008/10/26/16	42023	2	2.299074316	0.266401732	14.02070295	1.249720391	0.961640054	15	1	15	2	2
2008/10/27/23	29781	4	2.603908532	0.369665223	35.01806521	0.357409086	0.319196803	12	1	22	1	1
2008/10/28/00	9771	1	7.781803295	1.126701464	58.90584382	5.49329649	0.97380002	11	1	9	6	1
2008/10/28/21	9954	1	14.75195901	1.124673498	52.32007233	1.117138839	0.974683544	21	1	10	2	1
2008/10/29/16	19729	2	6.48532617	1.135131025	19.58751077	0.530589488	0.517816412	16	2	7	1	2
2008/10/02/18	48930	2	3.108011445	0.144103822	2.409789495	0.263662375	0.213406908	7	1	4	1	1
2008/10/03/21	24956	1	5.507573329	0.832144574	5.395776567	2.075532938	0.418416413	2	1	7	1	1
2008/10/06/19	16651	2	4.012611855	0.424358897	3.838508198	3.095009309	0.627049426	5	1	4	4	1
2008/10/06/22	8328	1	20.24939962	0.848583093	15.48499039	1.547190202	1.274975985	8	1	5	1	1
2008/10/07/00	8328	1	8.023414986	0.870196926	15.34942363	3.094380403	1.253722382	5	1	8	2	1
2008/10/09/19	8328	1	28.79382805	0.847982709	11.53698367	3.375600384	1.253722382	5	1	6	7	1
2008/10/14/23	8328	1	6.008285303	0.848102786	7.843780019	3.209894332	1.253362152	3	1	7	4	1
2008/10/20/01	8329	1	10.23916437	0.84800096	9.59478929	1.717252972	1.253932045	9	1	5	4	1
2008/10/23/14	8397	1	2.001071811	3.31463618	28.19721329	3.072525902	2.509348577	1	2	11	2	2
2008/10/23/20	8329	1	14.17721215	0.847760836	1.918957858	6.195221515	5.529235202	8	1	1	4	2
2008/10/24/20	8329	1	29.74618802	0.847760836	20.58086205	3.184776084	2.507864089	8	1	4	3	2
2008/10/26/07	8329	1	2.130027614	0.847880898	5.756873574	1.548925441	1.253932045	3	1	3	1	1
2008/10/27/17	34115	2	8.559138209	0.61791001	4.918364356	3.055723289	1.053173091	10	1	9	2	1
2008/10/28/04	8387	1	8.349827113	0.843686658	3.815667104	1.538213902	4.981042089	8	1	2	1	4
2008/10/30/16	101463	6	0.167361501	0.071434907	0.315425327	0.518041059	0.10294393	1	1	2	1	1
2008/10/31/04	8387	1	14.166925	0.864313819	3.815905568	1.560510314	1.245379754	7	1	2	1	1
2008/10/01/02	20459	4	11.51263503	0.350896916	0.353340828	0.636883523	3.643042182	40	1	1	2	7
2008/10/01/04	25305	2	17.18743331	0.567397747	0.285674768	1.501758546	1.658842126	39	2	1	4	6
2008/10/01/05	19992	3	16.01710684	0.727591036	0.361594638	2.304521809	1.707783113	50	2	1	8	6
2008/10/01/06	13323	2	11.89859641	1.077685206	0.542595512	0.978007956	3.23748405	23	2	1	2	8
2008/10/02/02	13798	3	15.37208291	0.554065807	0.52391651	0.472242354	1.304464415	46	2	1	1	5
2008/10/02/06	19990	3	12.89084542	0.35907954	1.046123062	0.348874437	1.245472736	27	1	1	2	3
2008/10/02/19	19995	3	21.3551888	0.35903976	1.084621155	1.001050263	5.504776194	69	1	3	4	16
2008/10/02/23	13330	2	31.10675169	0.53855964	0.542310578	0.977644411	5.042235559	54	1	1	2	7
2008/10/03/01	6665	1	37.05926482	4.317179295	5.47411853	2.932933233	11.89647412	43	4	5	3	16
2008/10/03/04	6665	1	39.83210803	1.07711928	1.084771193	2.932933233	8.855813953	44	1	1	3	9
2008/10/03/05	50634	4	11.81828416	0.404550302	0.413121618	0.49300865	2.618773946	38	1	1	2	9
2008/10/03/10	6665	1	2.858964741	5.255063766	1.084771193	1.955288822	1.245311328	4	3	1	2	1
2008/10/03/18	6665	1	58.29617404	3.073368342	3.138484621	1.984846212	12.47981995	37	1	1	2	5
2008/10/03/20	6665	1	59.17764441	1.07711928	2.195348837	2.028507127	7.447111778	31	1	2	3	4
2008/10/03/22	6652	1	42.5347264	1.356885147	1.224744438	1.960312688	3.741431149	23	3	2	2	3
2008/10/04/07	13793	3	10.89661422	0.51866889	0.529906474	0.473211049	1.805481041	21	1	1	1	3
2008/10/04/17	6663	1	18.66501576	2.15038271	1.09845415	0.979588774	4.983340837	27	2	1	1	4
2008/10/05/00	6663	1	33.28395618	1.075191355	1.09845415	2.936515083	16.32342789	30	1	1	3	10
2008/10/05/04	13323	2	14.39165353	0.562260752	1.098701494	0.979584178	2.492081363	24	2	2	2	4
2008/10/05/20	20204	3	7.065531578	0.356662047	0.36438329	1.337309444	2.056176995	25	1	1	5	5
2008/10/05/23	32159	3	11.6473149	0.451755341	0.461270562	0.202960291	1.583849	47	2	2	1	8
2008/10/06/05	13328	2	18.85421669	0.035039016	1.100390156	0.489720888	5.661239496	34	1	2	1	9
2008/10/06/10	6882	2	16.38375472	2.117262424	1.09779134	1.896832316	3.901336821	14	2	1	2	6
2008/10/06/14	18833	1	7.409971858	3.280412043	1.171135772	0.356395688	0.881484628	10	3	1	1	2
2008/10/06/15	6664	1	12.39765906	4.176620648	4.43607443	0.979441777	3.793217287	7	2	2	1	3
2008/10/06/19	6664	1	25.33433373	1.076830732	3.279411765	1.084633854	9.93757503	27	1	1	2	6
2008/10/07/04	13796	3	20.15917657	0.520223253	0.531603363	1.453464772	4.198463323	35	1	1	4	5
2008/10/07/18	7132	2	53.41657319	1.006870443	2.07809871	0.981071228	5.89988783	24	1	2	2	5
2008/10/08/04	13328	2	20.16011405	0.538790516	0.549594838	2.401410564	3.135879352	31	1	1	3	4
2008/10/08/07	21864	7	6.852451518	0.6782382	0.670051226	0.896267838	2.355607391	41	3	2	3	8
2008/10/08/19	13508	2	14.33572698	0.530870595	0.542271247	1.464021321	1.84424045	20	1	1	3	3
2008/10/09/00	31986	3	7.715938223	0.870130682	0.457950353	0.408491215	1.574782717	28	2	2	2	4
2008/10/09/15	6849	1	25.64841583	1.075339466	1.095926413	0.953861878	3.76609724	12	1	1	1	4
2008/10/09/17	20455	4	13.97888047	0.348276705	0.379173796	1.614715229	2.116499633	26	1	2	5	8
2008/10/10/00	6664	1	34.54846939	3.245498199	1.219387755	1.007202881	7.574279712	25	3	2	1	7
2008/10/10/03	6664	1	30.37935174	1.070528211	1.095738295	0.980342137	6.441176471	21	1	1	1	8
2008/10/10/07	34639	7	1.35052975	0.411905655	0.421605705	0.013510783	0.506481134	8	2	2	1	4
2008/10/10/17	7070	2	27.27100424	1.042149929	1.061669024	2.557142857	11.7155587	19	1	1	1	8
2008/10/10/18	24773	2	11.58442659	2.731401122	1.481734146	0.539417915	4.407177169	34	4	4	3	11
2008/10/10/23	6596	1	19.31958763	8.318677987	3.277895694	3.722862341	6.294724075	13	4	1	2	5
2008/10/11/03	14968	4	35.45657402	0.479222341	1.933391235	4.655999466	4.384152859	34	1	2	9	4
2008/10/11/09	6745	1	16.21749444	1.091475167	1.11237954	1.951964418	3.720533729	10	1	1	2	3
2008/10/11/17	6564	1	21.04067642	2.32205972	1.143053016	1.079981718	6.595978062	18	3	1	2	8
2008/10/11/18	32820	5	3.946953077	0.232541133	0.222516758	0.997471054	2.011639244	20	2	1	6	6
2008/10/11/20	19877	3	10.20395432	0.860039241	0.401167178	0.350656538	2.943100065	25	7	2	2	7
2008/10/12/01	6565	1	37.96725057	2.183396801	1.112414318	0.983244478	7.660624524	36	2	1	1	7
2008/10/12/03	13782	3	16.60978087	1.054418807	0.5638514	1.506965607	8.530692207	36	2	2	6	13
2008/10/12/06	13130	2	10.38530084	0.5458492	0.556207159	1.546153846	3.197867479	33	1	1	5	6
2008/10/12/20	37906	4	6.634991822	0.189099351	0.192317839	0.170236902	1.562997942	34	1	1	1	9
2008/10/12/22	13130	2	18.84219345	0.545925362	1.127341965	1.494516375	2.614623001	52	1	2	3	6
2008/10/12/23	13598	3	14.73040153	0.56155317	1.697749669	1.952051772	3.352993087	36	2	5	5	13
2008/10/13/00	13130	2	18.63061691	0.545925362	0.555978675	1.868469155	2.047220107	39	1	1	2	7
2008/10/13/07	31523	3	3.803223043	0.227389525	0.231576944	0.409478793	0.790280113	16	1	1	2	3
2008/10/13/17	56647	6	10.83054707	0.715501262	0.763464967	0.980228432	2.04572175	43	2	2	5	6
2008/10/13/20	7501	3	39.43340888	1.018930809	0.973203573	1.783095587	5.506199173	35	2	1	3	3
2008/10/13/21	13593	3	14.29220923	0.527992349	0.535937615	0.474803208	3.102626352	31	1	1	1	6
2008/10/13/22	468	1	587.3461538	16.33119658	15.5982906	27.58547009	37.88461538	36	2	1	2	4
2008/10/13/23	19695	3	14.32394009	0.364457984	0.370347804	0.327748159	4.718659558	24	1	1	1	12
2008/10/14/01	13161	2	13.84476863	0.54775473	1.111769622	0.980928501	6.299977205	24	1	2	2	8
2008/10/14/14	20347	4	4.339312921	0.71479825	0.727723989	0.317245786	0.895316263	24	2	2	1	5
2008/10/14/15	6565	1	17.13587205	1.093373953	2.387661843	1.174866717	5.050723534	17	1	4	3	4
2008/10/15/06	25255	3	23.27594536	0.802613344	1.712769749	0.971807563	5.540566225	40	1	2	2	9
