,<bytes_page>,<traf_page>,bratio_il0,bratio_il1,bratio_il2,traf_Ipodwizard,traf_il0,traf_il1,traf_il2
2008/10/16/01,68787,4,1.5606291886548331,0.138601770683414,0.8967246718129879,,9,1,3
2008/10/16/02,22773,1,2.9739603916919157,0.4186536688183375,0.5582927150573047,,7,1,1
2008/10/16/03,22773,1,2.366750098801212,1.2577174724454399,1.607210292890704,,5,3,1
2008/10/16/20,45674,2,2.848075491526908,0.20523711520777685,2.421311906117266,,7,1,6
2008/10/16/21,45674,2,2.605399132985944,1.291697683583658,0.5641940710250909,,10,5,3
2008/10/17/00,71060,2,1.3304390655783844,0.1320574162679426,0.6852237545735997,,8,1,2
2008/10/17/08,46321,3,2.4483063837136503,0.2025862999503465,0.2745407050797694,,3,1,1
2008/10/17/14,70551,1,2.789315530609063,0.2659494550041814,0.3605051664753157,,7,2,2
2008/10/17/23,22838,1,3.3562045713284876,0.42613188545406777,0.5488659252123653,,3,1,1
2008/10/18/04,22838,1,5.738068132060601,0.4109379105000438,1.1181802259392242,,9,1,3
2008/10/18/08,22838,1,2.1862247131973027,0.4519222348717051,14.305806112619319,,1,3,9
2008/10/18/10,22838,1,0.5850337157369296,0.8372011559681233,0.5567913127244067,,1,2,1
2008/10/18/13,70732,1,0.5666176553752191,0.42560651473166317,0.1772182322004185,,3,1,1
2008/10/18/15,48016,7,1.1133997000999667,0.20268243918693768,0.7528740419860047,,4,1,1
2008/10/18/19,45856,2,2.9012124912770414,0.4093248429867411,0.2773682833217027,,12,2,1
2008/10/18/20,22838,1,4.7357036518083895,0.4109379105000438,0.5790787284350644,,9,1,2
2008/10/19/01,68514,3,1.7147736229091863,0.1420439618180226,0.3686253904311528,,6,1,2
2008/10/19/03,116696,4,1.007926578460273,0.33839206142455613,0.4586275450743813,,6,2,5
2008/10/19/05,468,1,230.17948717948718,20.053418803418804,80.35897435897436,,8,1,3
2008/10/19/06,93390,2,0.15877502944640753,0.2047328407752436,0.6605739372523824,,4,2,3
2008/10/19/11,45676,2,2.293852351344251,0.6240695332340835,0.5529380856467291,,6,3,2
2008/10/19/15,70552,1,4.221099330989908,0.13794080961560268,0.1776845447329629,,15,1,1
2008/10/19/17,68776,3,0.9794114225892754,0.41950680469931373,0.3645457717808538,,5,3,2
2008/10/19/18,22838,1,11.027147736229091,1.3174971538663631,1.0978194237674053,,9,1,2
2008/10/19/21,45676,2,1.7629608547158244,0.2054689552500219,0.5939224100183904,,6,1,6
2008/10/19/23,45676,2,2.8818635607321132,0.4261975654610736,0.5529380856467291,,8,2,2
2008/10/20/00,68860,3,0.7814551263433053,0.2725820505373221,0.1819779262271275,,4,2,1
2008/10/20/05,47786,6,2.1732725065918888,0.3927928682040765,0.26233624911061815,,5,2,1
2008/10/20/10,23246,1,1.7325561386905275,0.4037253721070292,0.5392755742923514,,3,1,1
2008/10/20/12,23141,1,3.34626852772136,0.446004926321248,0.5417224839030292,,3,3,1
2008/10/20/17,23609,2,3.267228599262993,0.4123427506459401,0.5309839467999492,,3,1,1
2008/10/20/18,22959,1,6.708915893549371,0.46369615401367653,0.5539004312034497,,6,2,1
2008/10/20/21,22959,1,5.283244043730128,0.4289385426194521,1.0920336251578902,,9,2,2
2008/10/21/01,45918,2,3.1591750511781873,0.6554945772899516,0.2728995165294656,,9,1,1
2008/10/21/06,22960,1,2.3388501742160277,0.414808362369338,0.545993031358885,,4,1,1
2008/10/22/20,46282,2,1.1629143079382913,1.3311438572231105,0.27083963527937427,,4,7,1
2008/10/22/21,23050,1,7.33119305856833,0.43114967462039044,1.6394793926247289,,10,1,3
2008/10/22/22,23050,1,6.850715835140998,0.4436008676789588,1.6515401301518438,,9,2,4
2008/10/23/04,23050,1,2.93175704989154,0.4234273318872017,1.08763557483731,,6,1,2
2008/10/23/06,23050,1,1.1648590021691974,0.4234273318872017,1.0875488069414316,,2,1,2
2008/10/23/19,23051,1,5.351524879614767,1.7252179948809163,0.5437941954795887,,13,2,1
2008/10/23/21,71210,7,2.7402611992697654,0.13705940176941442,1.3801713242522118,,10,1,4
2008/10/23/23,23051,1,2.9454687432215523,0.8549737538501584,3.1760878053012886,,6,2,2
2008/10/24/00,138306,6,0.39019276097927785,0.14135323124087168,0.35530634968837216,,4,2,2
2008/10/24/04,69153,3,1.705652683180773,0.1411507816002198,0.7250589273061183,,7,1,4
2008/10/24/18,117688,4,0.6593025627081776,0.08520834749507171,2.4160917000883693,,4,1,15
2008/10/24/19,23051,1,1.7745434037568868,2.1566092577328533,10.219339724957702,,4,3,13
2008/10/24/20,71118,1,1.548271886161028,0.13723670519418432,1.7511459827329228,,13,1,8
2008/10/24/22,47024,3,1.6544743109901328,0.20755358965634568,3.181481796529432,,5,1,10
2008/10/25/00,23519,2,1.7124877758408095,0.4341170968153408,2.131723287554743,,3,1,4
2008/10/25/16,23051,1,2.4375081341373477,0.42340896273480544,1.651685393258427,,8,1,4
2008/10/25/21,23519,2,6.590671372082146,0.8380458352821123,4.873846677154641,,7,2,12
2008/10/25/23,23701,2,1.1922703683388887,0.8533817138517362,2.115522551791064,,5,3,4
2008/10/26/00,71119,1,1.797902107734923,0.13724883645720554,0.3530702062739915,,4,1,2
2008/10/26/02,23051,1,0.6025768947117262,0.4234523448006594,2.6888204416294306,,1,1,3
2008/10/26/07,69153,3,0.3883273321475569,0.1411507816002198,0.36242823883273323,,2,1,2
2008/10/26/09,115723,6,0.12169577352816639,0.1686959377133327,0.10829307916317413,,2,2,1
2008/10/26/19,23051,1,8.913322632423757,1.3095744219339724,2.1451130102815497,,7,1,2
2008/10/26/21,23051,1,1.1649819964426706,0.4761181727473862,1.0952670166153313,,2,3,2
2008/10/27/20,23233,1,6.66792923858305,1.7241854259028107,1.5880428700555245,,6,2,1
2008/10/27/22,23233,1,6.364266345284724,0.4211251237463952,1.6575130202728876,,13,1,4
2008/10/27/23,46469,2,3.041511545331296,0.4245841313563881,1.3374077341883837,,5,2,3
2008/10/28/13,23051,1,2.7800529261203417,0.424233221986031,1.638887683831504,,2,1,3
2008/10/28/14,23051,1,5.154353390308446,0.4244501323153009,0.5437074313478808,,6,1,1
2008/10/28/15,46102,2,3.97976226627912,0.6547872109669862,0.8001822046765867,,10,1,1
2008/10/28/17,69153,3,2.846225037236273,0.8758839095917748,0.37259410293118156,,11,2,3
2008/10/28/20,23494,2,6.631735762322295,0.4164467523623053,2.6373116540393293,,7,1,3
2008/10/30/13,95010,2,0.14207978107567623,0.32347121355646774,0.6585727818124408,,1,1,3
2008/10/31/05,46082,2,2.022351460440085,0.21611475196389046,0.5520593724230719,,6,1,2
2008/10/31/19,23041,1,4.795408185408619,1.3344906905082246,0.5520593724230719,,9,1,1
2008/10/31/21,69298,3,1.578790152673959,0.14356835695113856,0.18356951138560998,,12,1,1
2008/10/31/22,46082,2,2.60724360921835,0.21609305151686126,0.27605138665856516,,7,1,1
2008/10/01/00,11158,1,44.684889765190896,3.915397024556372,2.2633088367090877,,15,2,2
2008/10/01/02,11340,1,1.2339506172839507,5.7708994708994705,2.242857142857143,,1,3,2
2008/10/01/14,11338,1,2.484212383136356,17.516228611748105,4.781266537308167,,2,13,2
2008/10/02/21,11158,1,2.540598673597419,1.9661229611041404,2.263488080301129,,2,1,2
2008/10/03/12,11611,2,5.689690810438377,5.652484712772371,1.168202566531737,,2,3,3
2008/10/03/17,11152,1,4.636567431850789,1.9507711621233859,1.148493543758967,,1,1,1
2008/10/06/14,11599,2,2.443572721786361,7.629709457711872,4.652297611863092,,2,6,2
2008/10/06/15,11144,1,3.819813352476669,3.9364680545585067,2.431981335247667,,4,2,6
2008/10/06/17,11330,1,1.2347749338040601,1.9197705207413944,3.649161518093557,,1,1,1
2008/10/06/21,11328,1,2.4708686440677967,13.750176553672317,3.3575211864406778,,2,11,3
2008/10/07/03,11135,1,1.5930848675348002,1.9529411764705882,1.1330938482263133,,9,1,1
2008/10/07/15,11325,1,2.503664459161148,7.748079470198675,4.764679911699779,,2,4,2
2008/10/07/23,11148,1,5.037585217079297,3.982238966630786,5.9715644061715105,,4,3,3
2008/10/08/19,11329,1,2.470650542854621,15.182540383087652,1.1137787977756202,,2,5,1
2008/10/08/22,11148,1,7.211607463222102,3.9359526372443487,1.1318622174381054,,4,2,1
2008/10/08/23,11842,2,1.1818105049822665,1.83685188312785,2.1465124134436753,,1,1,2
2008/10/09/11,11148,1,7.181019016864012,23.17563688554001,5.98815931108719,,3,9,3
2008/10/10/01,34297,1,0.40805318249409567,4.3549873166749276,0.36787474123101144,,1,3,1
2008/10/10/15,11333,1,4.576281655342804,7.742874790435013,2.2880084708373776,,1,4,3
2008/10/11/21,11344,1,2.4834273624823697,1.9174894217207334,1.1285260930888577,,2,1,1
2008/10/12/17,11136,1,1.2567349137931034,12.041217672413794,1.1608297413793103,,1,11,1
2008/10/14/18,11344,1,4.557299012693935,8.083303949224259,4.4775211565585336,,1,12,4
2008/10/14/19,45482,2,0.338661448485115,0.9605118508420913,1.4818829427026077,,4,2,4
2008/10/14/20,33830,3,0.4190363582618977,6.263878214602424,0.750812887969258,,1,2,2
2008/10/15/01,11145,1,2.528039479587259,8.302736653207717,1.131269627635711,,2,14,1
2008/10/15/14,11344,1,1.2499118476727786,18.952926657263752,1.127644569816643,,1,6,1
2008/10/15/19,22493,2,0.8307473436180145,16.07126661628062,2.2959142844440494,,11,5,6
2008/10/16/14,11158,1,6.7826671446495785,13.480552070263489,2.273973830435562,,15,4,2
2008/10/16/23,11341,1,1.2754607177497574,13.249008023983775,2.237280663080857,,2,4,2
2008/10/17/10,11341,1,1.2502424830261882,4.11692090644564,1.126708403139053,,1,8,1
2008/10/17/13,11344,1,5.823254583921016,15.200811001410438,2.478490832157969,,2,4,7
2008/10/18/18,11344,1,5.807210860366713,3.853755289139633,1.1103667136812412,,2,2,1
2008/10/19/11,34307,1,1.5069227854373743,3.202436820473956,0.3724895793861311,,1,5,1
2008/10/19/19,22685,2,0.6250385717434428,8.565395635882743,1.6898391007273528,,1,5,3
2008/10/20/05,11149,1,1.2553592250426047,6.872724011122074,2.2595748497623105,,1,3,2
2008/10/20/08,11344,1,7.163434414668547,4.114509873060649,1.1711918194640338,,5,7,2
2008/10/21/12,11344,1,1.2499118476727786,2.5758110014104374,3.363099435825106,,1,15,3
2008/10/22/22,11343,1,1.233888741955391,1.9271797584413295,3.4088865379529225,,1,1,4
2008/10/23/08,34297,1,0.4080823395632271,3.7910604426043095,1.1995218240662449,,1,6,1
2008/10/23/13,22473,2,0.622791794597962,10.464468473279046,1.137275842121657,,1,4,2
2008/10/24/14,12369,3,4.540949147061202,5.410865874363328,2.0514997170345217,,4,4,2
2008/10/24/20,11160,1,7.264695340501792,9.810394265232976,1.1907706093189965,,5,5,2
2008/10/25/23,11183,1,2.519180899579719,9.534919073593848,2.3109183582223016,,2,2,3
2008/10/26/02,11184,1,1.2677932761087267,1.9545779685264664,1.1262517882689556,,1,1,1
2008/10/26/20,11853,2,2.376360415084789,9.501307685817936,2.1408082342023116,,2,10,2
2008/10/26/21,11340,1,3.841446208112875,5.951499118165785,2.2376543209876543,,5,6,2
2008/10/27/09,11340,1,1.341005291005291,3.888095238095238,2.237389770723104,,3,2,2
2008/10/27/13,11161,1,2.5863273900188157,6.0012543678881825,9.729504524684168,,3,5,4
2008/10/27/16,11340,1,1.234215167548501,5.832275132275132,1.110758377425044,,1,3,1
2008/10/27/21,11343,1,1.233888741955391,9.912016221458169,2.2367980252137882,,1,10,2
2008/10/27/22,22680,2,0.6250440917107584,3.8922398589065255,1.1491181657848324,,1,5,3
2008/10/28/09,34594,1,1.9060819795340231,3.703330057235359,3.962681389836388,,2,2,4
2008/10/28/18,11343,1,10.392047959093714,11.310940668253549,1.1119633253989245,,3,2,1
2008/10/29/07,11343,1,2.4673366834170856,7.515119456933792,4.79538041082606,,2,19,2
2008/10/29/13,35207,1,1.2175135626437925,3.638878632090209,1.1820660664072487,,4,2,1
2008/10/29/16,22683,2,0.6168055371864392,7.616541021910682,0.5634175373627827,,1,5,1
2008/10/29/20,11340,1,1.3538800705467373,7.851058201058201,1.1720458553791888,,4,7,2
2008/10/29/21,11343,1,1.249757559728467,7.757647888565635,2.2393546680772283,,1,4,2
2008/10/30/05,105142,3,0.13311521561317077,0.20790930360845333,1.1822392573852505,,1,1,3
2008/10/30/13,70440,2,3.9012634866553095,1.8221465076660988,0.7722884724588303,,6,2,2
2008/10/30/15,11343,1,2.499779599753152,3.887066913514943,1.2091157542096447,,2,2,1
2008/10/30/20,22701,2,6.925597991277917,1.062111801242236,2.381436941103916,,3,5,2
2008/10/31/02,11356,1,1.232476224022543,1.9249735822472702,0.04121169425854174,,1,1,1
2008/10/31/13,35044,1,0.39938363200547883,1.9699520602670928,0.36026138568656546,,1,9,1
2008/10/31/20,11355,1,1.248701012769705,1.942668428005284,5.007926023778071,,1,1,7
